exchange,exchange_token,trading_symbol,groww_symbol,company_name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,79,ALEMBICLTD,NSE-ALEMBICLTD,Alembic,EQ,CASH,EQ,INE426A01027,,,,,1,0.01,,,1,1,ALEMBICLTD-EQ,1
NSE,29624,AJAXENGG,NSE-AJAXENGG,Ajax Engineering,EQ,CASH,EQ,INE274Y01021,,,,,1,0.05,,,1,1,AJAXENGG-EQ,1
NSE,5265,ALIVUS,NSE-ALIVUS,Alivus Life Sciences,EQ,CASH,EQ,INE03Q201024,,,,,1,0.1,,,1,1,ALIVUS-EQ,1
NSE,4487,ALKYLAMINE,NSE-ALKYLAMINE,Alkyl Amines Chem,EQ,CASH,EQ,INE150B01039,,,,,1,0.1,,,1,1,ALKYLAMINE-EQ,1
NSE,9046,AGROPHOS,NSE-AGROPHOS,Agro Phos India,EQ,CASH,EQ,INE740V01019,,,,,1,0.01,,,1,1,AGROPHOS-EQ,0
NSE,11798,ALLDIGI,NSE-ALLDIGI,Alldigi Tech,EQ,CASH,EQ,INE835G01018,,,,,1,0.05,,,1,1,ALLDIGI-EQ,0
NSE,17675,ALOKINDS,NSE-ALOKINDS,Alok Industries,EQ,CASH,EQ,INE270A01029,,,,,1,0.01,,,1,1,ALOKINDS-EQ,1
NSE,8124,AJANTPHARM,NSE-AJANTPHARM,Ajanta Pharma,EQ,CASH,EQ,INE031B01049,,,,,1,0.1,,,1,1,AJANTPHARM-EQ,1
NSE,760234,AEQUS,NSE-AEQUS,Aequs,EQ,CASH,EQ,INE947N01017,,,,,1,0.01,,,1,1,AEQUS-EQ,1
NSE,758968,AHCL,NSE-AHCL,Anlon Healthcare,EQ,CASH,EQ,INE0Y8W01025,,,,,1,0.01,,,1,1,AHCL-EQ,1
NSE,14890,AKI,NSE-AKI,AKI India,EQ,CASH,EQ,INE642Z01026,,,,,1,0.01,,,1,1,AKI-EQ,0
NSE,5194,ANTGRAPHIC,NSE-ANTGRAPHIC,Antarctica,EQ,CASH,EQ,INE414B01021,,,,,1,0.01,,,1,1,ANTGRAPHIC-EQ,0
NSE,324,ANGELONE,NSE-ANGELONE,Angel One,EQ,CASH,EQ,INE732I01021,,,,,1,0.05,,,1,1,ANGELONE-EQ,1
NSE,20453,APCL,NSE-APCL,Anjani Portland Cem.,EQ,CASH,EQ,INE071F01012,,,,,1,0.01,,,1,1,APCL-EQ,0
NSE,5378,ASAHIINDIA,NSE-ASAHIINDIA,Asahi India Glass,EQ,CASH,EQ,INE439A01020,,,,,1,0.05,,,1,1,ASAHIINDIA-EQ,1
NSE,757614,ARIS,NSE-ARIS,Arisinfra Solutions,EQ,CASH,EQ,INE0H9P01028,,,,,1,0.01,,,1,1,ARIS-EQ,1
NSE,14889,ASIANTILES,NSE-ASIANTILES,Asian Granito India,EQ,CASH,EQ,INE022I01019,,,,,1,0.01,,,1,1,ASIANTILES-EQ,1
NSE,5435,APTUS,NSE-APTUS,Aptus Value Housing,EQ,CASH,EQ,INE852O01025,,,,,1,0.05,,,1,1,APTUS-EQ,1
NSE,25328,APLLTD,NSE-APLLTD,Alembic Pharma,EQ,CASH,EQ,INE901L01018,,,,,1,0.05,,,1,1,APLLTD-EQ,1
NSE,13598,ANTELOPUS,NSE-ANTELOPUS,Antelopus Selan Ener,EQ,CASH,EQ,INE818A01017,,,,,1,0.05,,,1,1,ANTELOPUS-EQ,0
NSE,16943,ASHOKAMET,NSE-ASHOKAMET,Ashoka Metcast,EQ,CASH,EQ,INE760Y01011,,,,,1,0.01,,,1,1,ASHOKAMET-EQ,0
NSE,23365,AQYLON,NSE-AQYLON,Aqylon Nexus,EQ,CASH,EQ,INE416A01051,,,,,1,0.01,,,1,1,AQYLON-EQ,0
